date,location,gear,trt,oyster_num,weigh_boat,dirty_wt_boat,clean_wt_boat,fouling_wt,whole_wet_wt,fouling_ratio
8/15/22,BP,in,BPi,1,2.114,11.916,11.660,0.256,9.546,2.682
8/15/22,BP,in,BPi,2,2.116,28.168,27.339,0.829,25.223,3.287
8/15/22,BP,in,BPi,3,2.107,21.148,20.830,0.318,18.723,1.698
8/15/22,BP,in,BPi,4,2.115,48.826,48.476,0.350,46.361,0.755
8/15/22,BP,in,BPi,5,2.100,19.384,19.137,0.247,17.037,1.450
8/15/22,BP,in,BPi,6,2.103,15.279,14.978,0.301,12.875,2.338
8/15/22,BP,in,BPi,7,2.128,21.690,21.598,0.092,19.470,0.473
8/15/22,BP,in,BPi,8,2.097,22.616,22.417,0.199,20.320,0.979
8/15/22,BP,in,BPi,9,2.097,34.929,34.618,0.311,32.521,0.956
8/15/22,BP,in,BPi,10,2.138,20.602,20.270,0.332,18.132,1.831
8/15/22,BP,in,BPi,11,2.089,25.215,24.680,0.535,22.591,2.368
8/15/22,BP,in,BPi,12,2.122,25.643,25.073,0.570,22.951,2.484
8/15/22,BP,in,BPi,13,2.103,34.804,34.148,0.656,32.045,2.047
8/15/22,BP,in,BPi,14,2.117,24.281,23.747,0.534,21.630,2.469
8/15/22,BP,in,BPi,15,2.129,15.061,14.724,0.337,12.595,2.676
8/15/22,BP,in,BPi,16,2.089,24.941,24.692,0.249,22.603,1.102
8/15/22,BP,in,BPi,17,2.117,23.362,22.907,0.455,20.790,2.189
8/15/22,BP,in,BPi,18,2.111,36.886,36.319,0.567,34.208,1.658
8/15/22,BP,in,BPi,19,2.134,16.972,16.560,0.412,14.426,2.856
8/15/22,BP,in,BPi,20,2.081,26.281,25.951,0.330,23.870,1.382
8/15/22,FB,in,FBi,21,2.129,33.855,31.965,1.890,29.836,6.335
8/15/22,FB,in,FBi,22,2.123,36.247,33.196,3.051,31.073,9.819
8/15/22,FB,in,FBi,23,2.088,46.346,41.362,4.984,39.274,12.690
8/15/22,FB,in,FBi,24,2.090,25.084,23.250,1.834,21.160,8.667
8/15/22,FB,in,FBi,25,2.109,22.290,18.897,3.393,16.788,20.211
8/15/22,FB,in,FBi,26,2.106,26.146,22.199,3.947,20.093,19.644
8/15/22,FB,in,FBi,27,2.087,23.868,22.812,1.056,20.725,5.095
8/15/22,FB,in,FBi,28,2.094,15.561,13.807,1.754,11.713,14.975
8/15/22,FB,in,FBi,29,2.062,51.286,48.236,3.050,46.174,6.605
8/15/22,FB,in,FBi,30,2.108,33.539,32.002,1.537,29.894,5.141
8/15/22,FB,in,FBi,31,2.099,24.897,21.946,2.951,19.847,14.869
8/15/22,FB,in,FBi,32,2.104,30.519,29.387,1.132,27.283,4.149
8/15/22,FB,in,FBi,33,2.115,25.268,23.833,1.435,21.718,6.607
8/15/22,FB,in,FBi,34,2.110,23.440,19.934,3.506,17.824,19.670
8/15/22,FB,in,FBi,35,2.085,21.119,19.856,1.263,17.771,7.107
8/15/22,FB,in,FBi,36,2.108,18.711,15.968,2.743,13.860,19.791
8/15/22,FB,in,FBi,37,2.108,19.989,18.832,1.157,16.724,6.918
8/15/22,FB,in,FBi,38,2.106,18.124,15.591,2.533,13.485,18.784
8/15/22,FB,in,FBi,39,2.099,26.079,22.626,3.453,20.527,16.822
8/15/22,FB,in,FBi,40,2.072,22.868,19.667,3.201,17.595,18.193
8/15/22,FC,in,FCi,41,2.116,26.665,25.726,0.939,23.610,3.977
8/15/22,FC,in,FCi,42,2.099,39.107,37.851,1.256,35.752,3.513
8/15/22,FC,in,FCi,43,2.064,13.999,13.589,0.410,11.525,3.557
8/15/22,FC,in,FCi,44,2.085,27.222,27.715,-0.493,25.630,-1.924
8/15/22,FC,in,FCi,45,2.134,33.528,32.129,1.399,29.995,4.664
8/15/22,FC,in,FCi,46,2.099,31.472,30.234,1.238,28.135,4.400
8/15/22,FC,in,FCi,47,2.075,48.829,47.138,1.691,45.063,3.753
8/15/22,FC,in,FCi,48,2.079,25.548,24.144,1.404,22.065,6.363
8/15/22,FC,in,FCi,49,2.269,28.138,26.160,1.978,23.891,8.279
8/15/22,FC,in,FCi,50,2.105,29.701,27.755,1.946,25.650,7.587
8/15/22,FC,in,FCi,51,2.094,20.113,19.392,0.721,17.298,4.168
8/15/22,FC,in,FCi,52,2.109,13.657,13.201,0.456,11.092,4.111
8/15/22,FC,in,FCi,53,2.105,32.563,30.572,1.991,28.467,6.994
8/15/22,FC,in,FCi,54,2.112,33.394,32.370,1.024,30.258,3.384
8/15/22,FC,in,FCi,55,2.125,30.404,28.481,1.923,26.356,7.296
8/15/22,FC,in,FCi,56,2.111,18.134,17.457,0.677,15.346,4.412
8/15/22,FC,in,FCi,57,2.115,24.840,23.902,0.938,21.787,4.305
8/15/22,FC,in,FCi,58,2.095,21.032,19.431,1.601,17.336,9.235
8/15/22,FC,in,FCi,59,2.103,16.758,16.141,0.617,14.038,4.395
8/15/22,FC,in,FCi,60,2.101,28.515,27.736,0.779,25.635,3.039
8/15/22,BP,out,BPo,61,2.116,19.112,18.864,0.248,16.748,1.481
8/15/22,BP,out,BPo,62,2.141,15.397,15.030,0.367,12.889,2.847
8/15/22,BP,out,BPo,63,2.086,22.445,21.986,0.459,19.900,2.307
8/15/22,BP,out,BPo,64,2.104,10.356,10.151,0.205,8.047,2.548
8/15/22,BP,out,BPo,65,2.099,16.309,15.921,0.388,13.822,2.807
8/15/22,BP,out,BPo,66,2.098,34.313,33.887,0.426,31.789,1.340
8/15/22,BP,out,BPo,67,2.111,17.849,17.589,0.260,15.478,1.680
8/15/22,BP,out,BPo,68,2.127,18.444,18.471,-0.027,16.344,-0.165
8/15/22,BP,out,BPo,69,2.112,14.109,14.050,0.059,11.938,0.494
8/15/22,BP,out,BPo,70,2.132,14.833,14.713,0.120,12.581,0.954
8/15/22,BP,out,BPo,71,2.090,23.171,22.973,0.198,20.883,0.948
8/15/22,BP,out,BPo,72,2.119,9.988,9.804,0.184,7.685,2.394
8/15/22,BP,out,BPo,73,2.103,18.286,18.067,0.219,15.964,1.372
8/15/22,BP,out,BPo,74,2.183,20.206,19.833,0.373,17.650,2.113
8/15/22,BP,out,BPo,75,2.103,22.287,21.963,0.324,19.860,1.631
8/15/22,BP,out,BPo,76,2.210,21.075,20.663,0.412,18.453,2.233
8/15/22,BP,out,BPo,77,2.112,18.126,18.042,0.084,15.930,0.527
8/15/22,BP,out,BPo,78,2.102,8.876,8.728,0.148,6.626,2.234
8/15/22,BP,out,BPo,79,2.128,20.245,19.944,0.301,17.816,1.689
8/15/22,BP,out,BPo,80,2.103,14.484,14.370,0.114,12.267,0.929
8/15/22,FB,out,FBo,81,2.096,27.114,24.095,3.019,21.999,13.723
8/15/22,FB,out,FBo,82,2.100,48.927,42.354,6.573,40.254,16.329
8/15/22,FB,out,FBo,83,2.091,36.788,32.733,4.055,30.642,13.233
8/15/22,FB,out,FBo,84,2.091,33.370,28.002,5.368,25.911,20.717
8/15/22,FB,out,FBo,85,2.116,26.326,23.969,2.357,21.853,10.786
8/15/22,FB,out,FBo,86,2.077,22.318,19.857,2.461,17.780,13.841
8/15/22,FB,out,FBo,87,2.124,37.418,33.982,3.436,31.858,10.785
8/15/22,FB,out,FBo,88,2.095,16.257,14.563,1.694,12.468,13.587
8/15/22,FB,out,FBo,89,2.128,15.504,14.243,1.261,12.115,10.409
8/15/22,FB,out,FBo,90,2.110,19.337,17.681,1.656,15.571,10.635
8/15/22,FB,out,FBo,91,2.097,16.088,14.428,1.660,12.331,13.462
8/15/22,FB,out,FBo,92,2.105,16.945,14.583,2.362,12.478,18.929
8/15/22,FB,out,FBo,93,2.105,19.805,15.319,4.486,13.214,33.949
8/15/22,FB,out,FBo,94,2.107,47.413,38.453,8.960,36.346,24.652
8/15/22,FB,out,FBo,95,2.103,25.067,20.599,4.468,18.496,24.157
